event_id,patron_id,creator_id,post_id,event_type,event_at
ev_0000001,pa_00009,cr_0090,po_05738,view,2025-05-07 00:00:00
ev_0000002,pa_00009,cr_0090,po_05738,view,2025-05-29 00:00:00
ev_0000003,pa_00009,cr_0090,po_05743,view,2025-07-04 00:00:00
ev_0000004,pa_00009,cr_0090,po_05745,view,2025-07-13 00:00:00
ev_0000005,pa_00009,cr_0090,po_05746,view,2025-07-08 00:00:00
ev_0000006,pa_00009,cr_0090,po_05750,view,2025-08-15 00:00:00
ev_0000007,pa_00009,cr_0090,po_05751,view,2025-08-27 00:00:00
ev_0000008,pa_00009,cr_0090,po_05753,view,2025-09-26 00:00:00
ev_0000009,pa_00009,cr_0090,po_05753,view,2025-09-14 00:00:00
ev_0000010,pa_00009,cr_0090,po_05753,view,2025-09-24 00:00:00
ev_0000011,pa_00009,cr_0090,po_05763,view,2025-12-17 00:00:00
ev_0000012,pa_00011,cr_0092,po_05849,view,2024-05-24 00:00:00
ev_0000013,pa_00011,cr_0092,po_05849,view,2024-05-11 00:00:00
ev_0000014,pa_00011,cr_0092,po_05850,view,2024-06-27 00:00:00
ev_0000015,pa_00011,cr_0092,po_05851,view,2024-08-10 00:00:00
ev_0000016,pa_00011,cr_0092,po_05853,view,2024-09-07 00:00:00
ev_0000017,pa_00011,cr_0092,po_05853,view,2024-10-03 00:00:00
ev_0000018,pa_00011,cr_0092,po_05854,view,2025-01-01 00:00:00
ev_0000019,pa_00012,cr_0010,po_00633,view,2024-12-01 00:00:00
ev_0000020,pa_00015,cr_0001,po_00037,view,2025-04-16 00:00:00
ev_0000021,pa_00015,cr_0001,po_00037,view,2025-03-25 00:00:00
ev_0000022,pa_00015,cr_0001,po_00040,view,2025-05-23 00:00:00
ev_0000023,pa_00015,cr_0001,po_00044,view,2025-08-14 00:00:00
ev_0000024,pa_00015,cr_0001,po_00044,view,2025-08-03 00:00:00
ev_0000025,pa_00015,cr_0001,po_00046,view,2025-07-18 00:00:00
ev_0000026,pa_00015,cr_0001,po_00053,view,2025-10-14 00:00:00
ev_0000027,pa_00015,cr_0001,po_00053,view,2025-09-19 00:00:00
ev_0000028,pa_00015,cr_0001,po_00054,view,2025-10-08 00:00:00
ev_0000029,pa_00015,cr_0001,po_00054,like,2025-09-30 00:00:00
ev_0000030,pa_00015,cr_0001,po_00055,view,2025-11-23 00:00:00
ev_0000031,pa_00015,cr_0001,po_00058,view,2025-11-04 00:00:00
ev_0000032,pa_00015,cr_0001,po_00059,view,2025-11-27 00:00:00
ev_0000033,pa_00015,cr_0001,po_00059,view,2025-11-30 00:00:00
ev_0000034,pa_00019,cr_0082,po_05249,view,2025-04-22 00:00:00
ev_0000035,pa_00023,cr_0073,po_04622,view,2024-10-18 00:00:00
ev_0000036,pa_00023,cr_0073,po_04623,view,2024-09-30 00:00:00
ev_0000037,pa_00023,cr_0073,po_04625,view,2024-12-26 00:00:00
ev_0000038,pa_00023,cr_0073,po_04626,view,2024-12-05 00:00:00
ev_0000039,pa_00023,cr_0073,po_04628,view,2024-12-23 00:00:00
ev_0000040,pa_00023,cr_0073,po_04632,view,2025-02-04 00:00:00
ev_0000041,pa_00023,cr_0073,po_04634,view,2025-04-13 00:00:00
ev_0000042,pa_00023,cr_0073,po_04639,view,2025-05-26 00:00:00
ev_0000043,pa_00023,cr_0073,po_04639,view,2025-05-30 00:00:00
ev_0000044,pa_00023,cr_0073,po_04641,view,2025-09-06 00:00:00
ev_0000045,pa_00023,cr_0073,po_04642,view,2025-08-27 00:00:00
ev_0000046,pa_00023,cr_0073,po_04642,view,2025-08-17 00:00:00
ev_0000047,pa_00023,cr_0073,po_04643,view,2025-09-28 00:00:00
ev_0000048,pa_00023,cr_0073,po_04644,view,2025-09-22 00:00:00
ev_0000049,pa_00023,cr_0073,po_04644,view,2025-09-03 00:00:00
ev_0000050,pa_00023,cr_0073,po_04645,view,2025-09-17 00:00:00
ev_0000051,pa_00023,cr_0073,po_04648,view,2025-11-15 00:00:00
ev_0000052,pa_00025,cr_0106,po_06481,view,2024-10-24 00:00:00
ev_0000053,pa_00025,cr_0106,po_06481,like,2024-10-12 00:00:00
ev_0000054,pa_00025,cr_0106,po_06484,view,2024-12-08 00:00:00
ev_0000055,pa_00025,cr_0106,po_06488,view,2024-12-30 00:00:00
ev_0000056,pa_00025,cr_0106,po_06488,view,2025-01-18 00:00:00
ev_0000057,pa_00025,cr_0106,po_06490,view,2025-01-22 00:00:00
ev_0000058,pa_00025,cr_0106,po_06490,share,2025-01-17 00:00:00
ev_0000059,pa_00025,cr_0106,po_06492,view,2025-01-14 00:00:00
ev_0000060,pa_00025,cr_0106,po_06492,view,2025-01-13 00:00:00
ev_0000061,pa_00025,cr_0106,po_06496,view,2025-03-18 00:00:00
ev_0000062,pa_00025,cr_0106,po_06496,view,2025-03-10 00:00:00
ev_0000063,pa_00025,cr_0106,po_06497,view,2025-03-29 00:00:00
ev_0000064,pa_00025,cr_0106,po_06511,view,2025-07-13 00:00:00
ev_0000065,pa_00025,cr_0106,po_06512,view,2025-07-19 00:00:00
ev_0000066,pa_00025,cr_0106,po_06512,view,2025-07-30 00:00:00
ev_0000067,pa_00025,cr_0106,po_06515,view,2025-09-05 00:00:00
ev_0000068,pa_00025,cr_0106,po_06518,view,2025-10-23 00:00:00
ev_0000069,pa_00025,cr_0106,po_06520,view,2025-09-24 00:00:00
ev_0000070,pa_00025,cr_0106,po_06522,view,2025-11-16 00:00:00
ev_0000071,pa_00025,cr_0106,po_06523,view,2025-12-01 00:00:00
ev_0000072,pa_00025,cr_0106,po_06526,view,2025-12-20 00:00:00
ev_0000073,pa_00028,cr_0059,po_03556,view,2025-01-24 00:00:00
ev_0000074,pa_00028,cr_0059,po_03556,view,2025-01-24 00:00:00
ev_0000075,pa_00028,cr_0059,po_03557,view,2025-01-30 00:00:00
ev_0000076,pa_00033,cr_0068,po_04237,view,2024-12-02 00:00:00
ev_0000077,pa_00033,cr_0068,po_04241,view,2024-12-05 00:00:00
ev_0000078,pa_00033,cr_0068,po_04241,comment,2024-11-13 00:00:00
ev_0000079,pa_00033,cr_0068,po_04244,view,2024-12-24 00:00:00
ev_0000080,pa_00033,cr_0068,po_04245,view,2025-01-11 00:00:00
ev_0000081,pa_00033,cr_0068,po_04245,comment,2024-12-24 00:00:00
ev_0000082,pa_00033,cr_0068,po_04247,view,2025-02-11 00:00:00
ev_0000083,pa_00033,cr_0068,po_04247,view,2025-01-31 00:00:00
ev_0000084,pa_00033,cr_0068,po_04252,view,2025-03-18 00:00:00
ev_0000085,pa_00033,cr_0068,po_04252,like,2025-02-24 00:00:00
ev_0000086,pa_00033,cr_0068,po_04253,view,2025-02-09 00:00:00
ev_0000087,pa_00033,cr_0068,po_04257,view,2025-04-02 00:00:00
ev_0000088,pa_00033,cr_0068,po_04257,view,2025-03-20 00:00:00
ev_0000089,pa_00033,cr_0068,po_04268,view,2025-07-01 00:00:00
ev_0000090,pa_00033,cr_0068,po_04268,view,2025-06-30 00:00:00
ev_0000091,pa_00033,cr_0068,po_04268,view,2025-06-30 00:00:00
ev_0000092,pa_00033,cr_0068,po_04280,view,2025-11-23 00:00:00
ev_0000093,pa_00033,cr_0068,po_04280,like,2025-12-08 00:00:00
ev_0000094,pa_00033,cr_0068,po_04282,view,2025-12-07 00:00:00
ev_0000095,pa_00033,cr_0068,po_04284,view,2025-12-04 00:00:00
