post_id,creator_id,title,post_type,access_level,minimum_tier_id,published_at,is_pinned
po_00001,cr_0001,Weekly Newsletter #1,article,patron_only,ti_00001,2024-01-08 00:00:00,True
po_00002,cr_0001,New Article #2,article,patron_only,ti_00001,2024-01-08 00:00:00,False
po_00003,cr_0001,Thoughts on #3,article,patron_only,ti_00002,2024-02-05 00:00:00,False
po_00004,cr_0001,Thoughts on #4,article,patron_only,ti_00002,2024-02-20 00:00:00,False
po_00005,cr_0001,Update Post #5,article,patron_only,ti_00001,2024-02-01 00:00:00,False
po_00006,cr_0001,Update Post #6,article,public,,2024-02-20 00:00:00,False
po_00007,cr_0001,New Article #7,article,patron_only,ti_00002,2024-03-17 00:00:00,False
po_00008,cr_0001,New Tutorial #8,video,patron_only,ti_00001,2024-03-08 00:00:00,False
po_00009,cr_0001,Thoughts on #9,article,patron_only,ti_00001,2024-03-21 00:00:00,False
po_00010,cr_0001,WIP Preview #10,image,patron_only,ti_00001,2024-04-06 00:00:00,False
po_00011,cr_0001,New Artwork #11,image,patron_only,ti_00002,2024-04-02 00:00:00,False
po_00012,cr_0001,Exclusive Sketch #12,image,patron_only,ti_00001,2024-05-14 00:00:00,False
po_00013,cr_0001,WIP Preview #13,image,patron_only,ti_00001,2024-05-07 00:00:00,False
po_00014,cr_0001,Special Episode #14,video,public,,2024-05-23 00:00:00,False
po_00015,cr_0001,Exclusive Sketch #15,image,public,,2024-05-16 00:00:00,False
po_00016,cr_0001,Final Piece #16,image,patron_only,ti_00002,2024-06-15 00:00:00,False
po_00017,cr_0001,Weekly Update #17,video,patron_only,ti_00001,2024-07-01 00:00:00,True
po_00018,cr_0001,Exclusive Sketch #18,image,patron_only,ti_00002,2024-08-13 00:00:00,False
po_00019,cr_0001,New Article #19,article,patron_only,ti_00002,2024-08-27 00:00:00,False
po_00020,cr_0001,New Tutorial #20,video,patron_only,ti_00001,2024-08-22 00:00:00,False
po_00021,cr_0001,New Tutorial #21,video,patron_only,ti_00001,2024-08-13 00:00:00,False
po_00022,cr_0001,New Artwork #22,image,patron_only,ti_00002,2024-08-28 00:00:00,False
po_00023,cr_0001,Update Post #23,article,patron_only,ti_00001,2024-09-02 00:00:00,False
po_00024,cr_0001,Weekly Newsletter #24,article,patron_only,ti_00002,2024-09-01 00:00:00,False
po_00025,cr_0001,New Artwork #25,image,patron_only,ti_00001,2024-10-19 00:00:00,False
po_00026,cr_0001,Exclusive Sketch #26,image,patron_only,ti_00001,2024-10-05 00:00:00,False
po_00027,cr_0001,Exclusive Sketch #27,image,public,,2024-11-11 00:00:00,False
po_00028,cr_0001,WIP Preview #28,image,patron_only,ti_00001,2024-11-14 00:00:00,False
po_00029,cr_0001,Final Piece #29,image,patron_only,ti_00002,2024-11-09 00:00:00,False
po_00030,cr_0001,Special Episode #30,video,public,,2024-11-26 00:00:00,False
po_00031,cr_0001,Final Piece #31,image,public,,2024-12-03 00:00:00,False
po_00032,cr_0001,Thoughts on #32,article,patron_only,ti_00001,2024-12-28 00:00:00,False
po_00033,cr_0001,Update Post #33,article,public,,2024-12-23 00:00:00,False
po_00034,cr_0001,New Tutorial #34,video,patron_only,ti_00002,2025-02-12 00:00:00,False
po_00035,cr_0001,WIP Preview #35,image,patron_only,ti_00001,2025-02-28 00:00:00,False
po_00036,cr_0001,Behind the Scenes #36,video,public,,2025-03-12 00:00:00,False
po_00037,cr_0001,Thoughts on #37,article,patron_only,ti_00001,2025-03-19 00:00:00,False
po_00038,cr_0001,Special Episode #38,video,patron_only,ti_00001,2025-04-05 00:00:00,False
po_00039,cr_0001,New Tutorial #39,video,public,,2025-05-14 00:00:00,False
po_00040,cr_0001,Special Episode #40,video,patron_only,ti_00001,2025-05-19 00:00:00,False
po_00041,cr_0001,Weekly Update #41,video,patron_only,ti_00001,2025-06-17 00:00:00,False
po_00042,cr_0001,New Article #42,article,public,,2025-07-22 00:00:00,False
po_00043,cr_0001,Weekly Newsletter #43,article,patron_only,ti_00002,2025-07-07 00:00:00,False
po_00044,cr_0001,New Artwork #44,image,public,,2025-07-15 00:00:00,False
po_00045,cr_0001,Exclusive Sketch #45,image,public,,2025-07-17 00:00:00,False
po_00046,cr_0001,WIP Preview #46,image,patron_only,ti_00001,2025-07-01 00:00:00,False
po_00047,cr_0001,Final Piece #47,image,patron_only,ti_00001,2025-08-09 00:00:00,False
po_00048,cr_0001,Update Post #48,article,patron_only,ti_00002,2025-08-21 00:00:00,False
po_00049,cr_0001,Thoughts on #49,article,patron_only,ti_00001,2025-08-11 00:00:00,False
po_00050,cr_0001,WIP Preview #50,image,public,,2025-08-08 00:00:00,False
po_00051,cr_0001,New Tutorial #51,video,public,,2025-09-26 00:00:00,False
po_00052,cr_0001,Weekly Update #52,video,patron_only,ti_00001,2025-09-20 00:00:00,False
po_00053,cr_0001,New Article #53,article,public,,2025-09-16 00:00:00,False
po_00054,cr_0001,Exclusive Sketch #54,image,public,,2025-09-17 00:00:00,False
po_00055,cr_0001,Update Post #55,article,patron_only,ti_00002,2025-10-26 00:00:00,False
po_00056,cr_0001,Weekly Update #56,video,public,,2025-10-12 00:00:00,False
po_00057,cr_0001,Thoughts on #57,article,patron_only,ti_00002,2025-10-02 00:00:00,False
po_00058,cr_0001,Special Episode #58,video,patron_only,ti_00001,2025-10-22 00:00:00,False
po_00059,cr_0001,Weekly Newsletter #59,article,patron_only,ti_00001,2025-11-25 00:00:00,False
po_00060,cr_0001,WIP Preview #60,image,patron_only,ti_00001,2025-11-28 00:00:00,False
po_00061,cr_0001,Thoughts on #61,article,patron_only,ti_00001,2025-12-21 00:00:00,False
po_00062,cr_0001,Thoughts on #62,article,patron_only,ti_00002,2025-12-19 00:00:00,False
po_00063,cr_0002,Exclusive Sketch #63,image,patron_only,ti_00003,2024-01-16 00:00:00,False
po_00064,cr_0002,New Article #64,article,patron_only,ti_00003,2024-03-15 00:00:00,False
po_00065,cr_0002,Bonus Content #65,audio,public,,2024-04-27 00:00:00,False
po_00066,cr_0002,Update Post #66,article,public,,2024-05-22 00:00:00,False
po_00067,cr_0002,Update Post #67,article,patron_only,ti_00004,2024-06-22 00:00:00,False
po_00068,cr_0002,Thoughts on #68,article,patron_only,ti_00003,2024-06-13 00:00:00,False
po_00069,cr_0002,New Artwork #69,image,patron_only,ti_00003,2024-08-01 00:00:00,False
po_00070,cr_0002,New Artwork #70,image,public,,2024-08-07 00:00:00,False
po_00071,cr_0002,Final Piece #71,image,patron_only,ti_00004,2024-08-24 00:00:00,False
po_00072,cr_0002,New Artwork #72,image,patron_only,ti_00003,2024-08-18 00:00:00,False
po_00073,cr_0002,Weekly Newsletter #73,article,patron_only,ti_00003,2024-09-20 00:00:00,False
po_00074,cr_0002,Thoughts on #74,article,patron_only,ti_00003,2024-10-15 00:00:00,False
po_00075,cr_0002,WIP Preview #75,image,patron_only,ti_00003,2024-10-23 00:00:00,False
po_00076,cr_0002,Update Post #76,article,patron_only,ti_00004,2024-11-27 00:00:00,False
po_00077,cr_0002,Bonus Content #77,audio,patron_only,ti_00004,2024-12-15 00:00:00,False
po_00078,cr_0002,Weekly Newsletter #78,article,public,,2025-01-01 00:00:00,False
po_00079,cr_0002,New Artwork #79,image,patron_only,ti_00003,2025-02-09 00:00:00,False
po_00080,cr_0002,Monthly Update #80,audio,patron_only,ti_00004,2025-02-09 00:00:00,False
po_00081,cr_0002,New Article #81,article,patron_only,ti_00003,2025-04-06 00:00:00,False
po_00082,cr_0002,Weekly Newsletter #82,article,public,,2025-04-09 00:00:00,False
po_00083,cr_0002,New Article #83,article,patron_only,ti_00004,2025-05-23 00:00:00,False
po_00084,cr_0002,Monthly Update #84,audio,patron_only,ti_00003,2025-05-17 00:00:00,False
po_00085,cr_0002,New Episode #85,audio,patron_only,ti_00003,2025-05-26 00:00:00,False
po_00086,cr_0002,Bonus Content #86,audio,public,,2025-05-23 00:00:00,False
po_00087,cr_0002,Exclusive Sketch #87,image,patron_only,ti_00003,2025-06-16 00:00:00,False
po_00088,cr_0002,Exclusive Sketch #88,image,patron_only,ti_00003,2025-09-23 00:00:00,False
po_00089,cr_0002,Bonus Content #89,audio,public,,2025-10-04 00:00:00,False
po_00090,cr_0002,Bonus Content #90,audio,patron_only,ti_00004,2025-10-05 00:00:00,False
po_00091,cr_0002,Final Piece #91,image,patron_only,ti_00004,2025-11-05 00:00:00,False
po_00092,cr_0002,New Article #92,article,patron_only,ti_00003,2025-11-10 00:00:00,False
po_00093,cr_0002,Q&A Session #93,audio,patron_only,ti_00003,2025-12-16 00:00:00,False
po_00094,cr_0003,Exclusive Sketch #94,image,public,,2024-01-14 00:00:00,False
po_00095,cr_0003,Project Files #95,file,patron_only,ti_00005,2024-01-13 00:00:00,False
po_00096,cr_0003,Resource Pack #96,file,patron_only,ti_00006,2024-01-13 00:00:00,False
po_00097,cr_0003,New Article #97,article,patron_only,ti_00005,2024-01-06 00:00:00,False
po_00098,cr_0003,Resource Pack #98,file,patron_only,ti_00006,2024-02-18 00:00:00,False
po_00099,cr_0003,Thoughts on #99,article,public,,2024-02-20 00:00:00,False
po_00100,cr_0003,Final Piece #100,image,patron_only,ti_00005,2024-03-05 00:00:00,False
po_00101,cr_0003,Bonus Content #101,file,patron_only,ti_00006,2024-03-03 00:00:00,False
po_00102,cr_0003,Resource Pack #102,file,patron_only,ti_00005,2024-03-14 00:00:00,False
po_00103,cr_0003,Bonus Content #103,file,public,,2024-04-21 00:00:00,False
po_00104,cr_0003,Thoughts on #104,article,patron_only,ti_00006,2024-04-14 00:00:00,False
po_00105,cr_0003,New Artwork #105,image,patron_only,ti_00006,2024-04-27 00:00:00,False
po_00106,cr_0003,Final Piece #106,image,patron_only,ti_00006,2024-04-24 00:00:00,False
po_00107,cr_0003,Weekly Newsletter #107,article,patron_only,ti_00005,2024-04-17 00:00:00,False
po_00108,cr_0003,Exclusive Sketch #108,image,patron_only,ti_00006,2024-04-09 00:00:00,False
po_00109,cr_0003,Final Piece #109,image,patron_only,ti_00007,2024-05-05 00:00:00,False
po_00110,cr_0003,Template Download #110,file,patron_only,ti_00005,2024-05-17 00:00:00,False
po_00111,cr_0003,WIP Preview #111,image,patron_only,ti_00006,2024-05-20 00:00:00,False
po_00112,cr_0003,Exclusive Sketch #112,image,patron_only,ti_00005,2024-05-17 00:00:00,False
po_00113,cr_0003,Exclusive Sketch #113,image,patron_only,ti_00007,2024-06-12 00:00:00,False
po_00114,cr_0003,WIP Preview #114,image,patron_only,ti_00005,2024-06-28 00:00:00,False
po_00115,cr_0003,WIP Preview #115,image,patron_only,ti_00006,2024-06-22 00:00:00,False
po_00116,cr_0003,Resource Pack #116,file,patron_only,ti_00005,2024-07-13 00:00:00,False
po_00117,cr_0003,Thoughts on #117,article,patron_only,ti_00005,2024-07-19 00:00:00,False
po_00118,cr_0003,Bonus Content #118,file,patron_only,ti_00005,2024-07-08 00:00:00,False
po_00119,cr_0003,New Artwork #119,image,public,,2024-08-04 00:00:00,False
po_00120,cr_0003,WIP Preview #120,image,patron_only,ti_00005,2024-08-11 00:00:00,False
po_00121,cr_0003,Weekly Newsletter #121,article,patron_only,ti_00006,2024-08-15 00:00:00,False
po_00122,cr_0003,New Article #122,article,patron_only,ti_00006,2024-09-21 00:00:00,False
po_00123,cr_0003,Weekly Newsletter #123,article,patron_only,ti_00006,2024-10-19 00:00:00,False
po_00124,cr_0003,Final Piece #124,image,public,,2024-10-08 00:00:00,False
po_00125,cr_0003,Update Post #125,article,patron_only,ti_00005,2024-10-21 00:00:00,False
po_00126,cr_0003,Project Files #126,file,patron_only,ti_00005,2024-11-27 00:00:00,False
po_00127,cr_0003,WIP Preview #127,image,patron_only,ti_00005,2024-11-12 00:00:00,False
po_00128,cr_0003,New Artwork #128,image,patron_only,ti_00006,2024-11-10 00:00:00,False
po_00129,cr_0003,Project Files #129,file,patron_only,ti_00005,2024-11-17 00:00:00,False
po_00130,cr_0003,Bonus Content #130,file,patron_only,ti_00005,2024-12-03 00:00:00,False
po_00131,cr_0003,New Article #131,article,patron_only,ti_00006,2024-12-15 00:00:00,False
po_00132,cr_0003,Weekly Newsletter #132,article,patron_only,ti_00005,2025-01-02 00:00:00,False
po_00133,cr_0003,New Artwork #133,image,public,,2025-02-12 00:00:00,False
po_00134,cr_0003,Bonus Content #134,file,patron_only,ti_00007,2025-02-10 00:00:00,False
po_00135,cr_0003,Template Download #135,file,patron_only,ti_00006,2025-03-25 00:00:00,False
po_00136,cr_0003,Update Post #136,article,patron_only,ti_00007,2025-03-28 00:00:00,False
po_00137,cr_0003,Thoughts on #137,article,public,,2025-03-18 00:00:00,False
po_00138,cr_0003,Update Post #138,article,patron_only,ti_00005,2025-04-20 00:00:00,False
po_00139,cr_0003,Template Download #139,file,public,,2025-04-22 00:00:00,False
po_00140,cr_0003,Template Download #140,file,public,,2025-04-14 00:00:00,False
po_00141,cr_0003,New Artwork #141,image,patron_only,ti_00005,2025-04-11 00:00:00,False
po_00142,cr_0003,Weekly Newsletter #142,article,patron_only,ti_00005,2025-04-26 00:00:00,False
po_00143,cr_0003,Bonus Content #143,file,patron_only,ti_00005,2025-05-01 00:00:00,False
po_00144,cr_0003,Weekly Newsletter #144,article,patron_only,ti_00006,2025-05-01 00:00:00,False
po_00145,cr_0003,Weekly Newsletter #145,article,public,,2025-06-03 00:00:00,False
po_00146,cr_0003,Bonus Content #146,file,patron_only,ti_00005,2025-06-16 00:00:00,False
po_00147,cr_0003,New Artwork #147,image,patron_only,ti_00007,2025-06-11 00:00:00,False
po_00148,cr_0003,Update Post #148,article,patron_only,ti_00006,2025-06-20 00:00:00,False
po_00149,cr_0003,Thoughts on #149,article,patron_only,ti_00005,2025-07-20 00:00:00,False
po_00150,cr_0003,Final Piece #150,image,patron_only,ti_00006,2025-07-12 00:00:00,False
po_00151,cr_0003,Resource Pack #151,file,public,,2025-07-16 00:00:00,False
po_00152,cr_0003,Update Post #152,article,patron_only,ti_00005,2025-08-19 00:00:00,False
po_00153,cr_0003,Bonus Content #153,file,patron_only,ti_00007,2025-09-11 00:00:00,False
po_00154,cr_0003,WIP Preview #154,image,patron_only,ti_00005,2025-09-19 00:00:00,False
po_00155,cr_0003,WIP Preview #155,image,patron_only,ti_00005,2025-09-15 00:00:00,False
po_00156,cr_0003,Weekly Newsletter #156,article,patron_only,ti_00005,2025-09-01 00:00:00,False
po_00157,cr_0003,Update Post #157,article,patron_only,ti_00005,2025-09-27 00:00:00,False
po_00158,cr_0003,Resource Pack #158,file,patron_only,ti_00006,2025-09-04 00:00:00,False
po_00159,cr_0003,Update Post #159,article,patron_only,ti_00006,2025-09-27 00:00:00,False
po_00160,cr_0003,WIP Preview #160,image,patron_only,ti_00005,2025-09-07 00:00:00,False
po_00161,cr_0003,New Artwork #161,image,public,,2025-10-22 00:00:00,False
po_00162,cr_0003,Bonus Content #162,file,patron_only,ti_00006,2025-10-09 00:00:00,False
po_00163,cr_0003,Template Download #163,file,patron_only,ti_00006,2025-11-15 00:00:00,False
po_00164,cr_0003,WIP Preview #164,image,public,,2025-11-19 00:00:00,False
po_00165,cr_0003,Final Piece #165,image,patron_only,ti_00005,2025-11-26 00:00:00,False
po_00166,cr_0003,Template Download #166,file,public,,2025-11-02 00:00:00,False
po_00167,cr_0003,WIP Preview #167,image,patron_only,ti_00006,2025-11-26 00:00:00,False
po_00168,cr_0003,WIP Preview #168,image,patron_only,ti_00005,2025-11-05 00:00:00,False
po_00169,cr_0003,Project Files #169,file,patron_only,ti_00005,2025-12-05 00:00:00,False
po_00170,cr_0003,Bonus Content #170,file,patron_only,ti_00007,2025-12-09 00:00:00,False
po_00171,cr_0003,Template Download #171,file,patron_only,ti_00006,2025-12-03 00:00:00,False
po_00172,cr_0004,Monthly Update #172,audio,public,,2024-02-01 00:00:00,False
po_00173,cr_0004,New Article #173,article,patron_only,ti_00008,2024-02-08 00:00:00,False
po_00174,cr_0004,Weekly Newsletter #174,article,patron_only,ti_00008,2024-04-07 00:00:00,False
