tier_id,creator_id,tier_name,tier_rank,price_usd,description,is_active,created_at,archived_at
ti_00001,cr_0001,Supporter,1,2.23,Supporter tier - Access to exclusive content,True,2022-05-14 00:00:00,
ti_00002,cr_0001,Premium,2,9.38,Premium tier - Access to exclusive content,True,2022-05-14 00:00:00,
ti_00003,cr_0002,Basic,1,3.87,Basic tier - Access to exclusive content,True,2023-04-07 00:00:00,
ti_00004,cr_0002,Premium,2,9.14,Premium tier - Access to exclusive content,True,2023-04-11 00:00:00,
ti_00005,cr_0003,Supporter,1,2.75,Supporter tier - Access to exclusive content,True,2023-06-05 00:00:00,
ti_00006,cr_0003,VIP,2,12.65,VIP tier - Access to exclusive content,True,2023-06-10 00:00:00,
ti_00007,cr_0003,Champion,3,29.39,Champion tier - Access to exclusive content,True,2023-06-07 00:00:00,
ti_00008,cr_0004,Fan,1,4.6,Fan tier - Access to exclusive content,True,2022-10-10 00:00:00,
ti_00009,cr_0004,Premium,2,7.85,Premium tier - Access to exclusive content,True,2022-10-12 00:00:00,
ti_00010,cr_0005,Viewer,1,4.21,Viewer tier - Access to exclusive content,True,2022-11-11 00:00:00,
ti_00011,cr_0005,Premium,2,8.62,Premium tier - Access to exclusive content,True,2022-11-10 00:00:00,
ti_00012,cr_0005,Gold,3,41.03,Gold tier - Access to exclusive content,True,2022-11-11 00:00:00,
ti_00013,cr_0006,Viewer,1,2.05,Viewer tier - Access to exclusive content,True,2023-06-11 00:00:00,
ti_00014,cr_0006,VIP,2,9.02,VIP tier - Access to exclusive content,True,2023-06-07 00:00:00,
ti_00015,cr_0007,Fan,1,3.2,Fan tier - Access to exclusive content,True,2022-06-15 00:00:00,
ti_00016,cr_0007,VIP,2,8.51,VIP tier - Access to exclusive content,True,2022-06-15 00:00:00,
ti_00017,cr_0007,Gold,3,49.31,Gold tier - Access to exclusive content,True,2022-06-11 00:00:00,
ti_00018,cr_0008,Basic,1,3.3,Basic tier - Access to exclusive content,True,2023-04-09 00:00:00,
ti_00019,cr_0008,Insider,2,12.99,Insider tier - Access to exclusive content,True,2023-04-06 00:00:00,
ti_00020,cr_0009,Fan,1,2.78,Fan tier - Access to exclusive content,True,2022-06-12 00:00:00,
ti_00021,cr_0009,Premium,2,12.79,Premium tier - Access to exclusive content,True,2022-06-12 00:00:00,
ti_00022,cr_0010,Fan,1,3.84,Fan tier - Access to exclusive content,True,2022-02-10 00:00:00,
ti_00023,cr_0010,VIP,2,8.94,VIP tier - Access to exclusive content,True,2022-02-14 00:00:00,
ti_00024,cr_0011,Basic,1,2.6,Basic tier - Access to exclusive content,True,2022-05-17 00:00:00,
ti_00025,cr_0011,Insider,2,12.91,Insider tier - Access to exclusive content,True,2022-05-17 00:00:00,
ti_00026,cr_0012,Basic,1,2.05,Basic tier - Access to exclusive content,True,2022-09-09 00:00:00,
ti_00027,cr_0012,Plus,2,7.5,Plus tier - Access to exclusive content,True,2022-09-09 00:00:00,
ti_00028,cr_0013,Basic,1,3.82,Basic tier - Access to exclusive content,True,2022-11-08 00:00:00,
ti_00029,cr_0013,Insider,2,9.98,Insider tier - Access to exclusive content,True,2022-11-08 00:00:00,
ti_00030,cr_0013,Elite,3,46.55,Elite tier - Access to exclusive content,True,2022-11-09 00:00:00,
ti_00031,cr_0014,Viewer,1,2.85,Viewer tier - Access to exclusive content,True,2023-03-12 00:00:00,
ti_00032,cr_0014,Premium,2,10.18,Premium tier - Access to exclusive content,True,2023-03-07 00:00:00,
ti_00033,cr_0015,Viewer,1,4.96,Viewer tier - Access to exclusive content,True,2022-06-12 00:00:00,
ti_00034,cr_0015,Plus,2,13.17,Plus tier - Access to exclusive content,True,2022-06-10 00:00:00,
ti_00035,cr_0016,Basic,1,4.4,Basic tier - Access to exclusive content,True,2022-05-11 00:00:00,
ti_00036,cr_0016,Plus,2,13.92,Plus tier - Access to exclusive content,True,2022-05-16 00:00:00,
ti_00037,cr_0017,Basic,1,2.11,Basic tier - Access to exclusive content,True,2023-04-10 00:00:00,
ti_00038,cr_0017,Premium,2,10.29,Premium tier - Access to exclusive content,True,2023-04-08 00:00:00,
ti_00039,cr_0017,Pro,3,39.14,Pro tier - Access to exclusive content,True,2023-04-07 00:00:00,
ti_00040,cr_0018,Basic,1,3.61,Basic tier - Access to exclusive content,True,2023-01-10 00:00:00,
ti_00041,cr_0018,Premium,2,13.27,Premium tier - Access to exclusive content,True,2023-01-07 00:00:00,
ti_00042,cr_0019,Supporter,1,4.36,Supporter tier - Access to exclusive content,True,2022-08-09 00:00:00,
ti_00043,cr_0019,Premium,2,8.61,Premium tier - Access to exclusive content,True,2022-08-15 00:00:00,
ti_00044,cr_0020,Viewer,1,3.47,Viewer tier - Access to exclusive content,True,2023-07-08 00:00:00,
ti_00045,cr_0020,Insider,2,7.84,Insider tier - Access to exclusive content,True,2023-07-07 00:00:00,
ti_00046,cr_0021,Fan,1,3.97,Fan tier - Access to exclusive content,True,2023-02-10 00:00:00,
ti_00047,cr_0021,VIP,2,8.28,VIP tier - Access to exclusive content,True,2023-02-09 00:00:00,
ti_00048,cr_0022,Fan,1,2.56,Fan tier - Access to exclusive content,True,2022-05-12 00:00:00,
ti_00049,cr_0022,Plus,2,14.05,Plus tier - Access to exclusive content,True,2022-05-17 00:00:00,
ti_00050,cr_0023,Fan,1,2.33,Fan tier - Access to exclusive content,True,2022-08-09 00:00:00,
ti_00051,cr_0023,VIP,2,9.48,VIP tier - Access to exclusive content,True,2022-08-11 00:00:00,
ti_00052,cr_0024,Fan,1,3.61,Fan tier - Access to exclusive content,True,2023-06-09 00:00:00,
ti_00053,cr_0024,VIP,2,9.83,VIP tier - Access to exclusive content,True,2023-06-05 00:00:00,
ti_00054,cr_0025,Basic,1,2.65,Basic tier - Access to exclusive content,True,2023-06-09 00:00:00,
ti_00055,cr_0025,Premium,2,9.61,Premium tier - Access to exclusive content,True,2023-06-05 00:00:00,
ti_00056,cr_0025,Elite,3,35.17,Elite tier - Access to exclusive content,True,2023-06-05 00:00:00,
ti_00057,cr_0026,Supporter,1,4.71,Supporter tier - Access to exclusive content,True,2022-03-14 00:00:00,
ti_00058,cr_0026,Insider,2,13.63,Insider tier - Access to exclusive content,True,2022-03-17 00:00:00,
ti_00059,cr_0027,Basic,1,4.38,Basic tier - Access to exclusive content,True,2022-04-11 00:00:00,
ti_00060,cr_0027,VIP,2,9.76,VIP tier - Access to exclusive content,True,2022-04-13 00:00:00,
ti_00061,cr_0028,Fan,1,2.04,Fan tier - Access to exclusive content,True,2023-04-10 00:00:00,
ti_00062,cr_0028,Insider,2,10.67,Insider tier - Access to exclusive content,True,2023-04-10 00:00:00,
ti_00063,cr_0029,Viewer,1,3.15,Viewer tier - Access to exclusive content,True,2023-07-11 00:00:00,
ti_00064,cr_0029,Insider,2,10.44,Insider tier - Access to exclusive content,True,2023-07-09 00:00:00,
ti_00065,cr_0029,Pro,3,41.56,Pro tier - Access to exclusive content,True,2023-07-08 00:00:00,
ti_00066,cr_0030,Fan,1,2.48,Fan tier - Access to exclusive content,True,2022-02-15 00:00:00,
ti_00067,cr_0030,Insider,2,7.15,Insider tier - Access to exclusive content,True,2022-02-11 00:00:00,
ti_00068,cr_0031,Basic,1,2.36,Basic tier - Access to exclusive content,True,2022-03-15 00:00:00,
ti_00069,cr_0031,Premium,2,11.66,Premium tier - Access to exclusive content,True,2022-03-12 00:00:00,
ti_00070,cr_0031,Elite,3,26.36,Elite tier - Access to exclusive content,True,2022-03-17 00:00:00,
ti_00071,cr_0032,Basic,1,2.73,Basic tier - Access to exclusive content,True,2022-11-09 00:00:00,
ti_00072,cr_0032,Premium,2,9.69,Premium tier - Access to exclusive content,True,2022-11-10 00:00:00,
ti_00073,cr_0033,Fan,1,4.96,Fan tier - Access to exclusive content,True,2022-09-14 00:00:00,
ti_00074,cr_0033,Plus,2,13.03,Plus tier - Access to exclusive content,True,2022-09-10 00:00:00,
ti_00075,cr_0034,Supporter,1,3.24,Supporter tier - Access to exclusive content,True,2023-05-06 00:00:00,
ti_00076,cr_0034,Premium,2,8.63,Premium tier - Access to exclusive content,True,2023-05-08 00:00:00,
ti_00077,cr_0035,Fan,1,3.73,Fan tier - Access to exclusive content,True,2022-11-13 00:00:00,
ti_00078,cr_0035,Plus,2,7.92,Plus tier - Access to exclusive content,True,2022-11-11 00:00:00,
ti_00079,cr_0036,Viewer,1,3.01,Viewer tier - Access to exclusive content,True,2022-12-08 00:00:00,
ti_00080,cr_0036,Plus,2,11.1,Plus tier - Access to exclusive content,True,2022-12-11 00:00:00,
ti_00081,cr_0037,Supporter,1,4.04,Supporter tier - Access to exclusive content,True,2022-06-10 00:00:00,
ti_00082,cr_0037,Plus,2,14.61,Plus tier - Access to exclusive content,True,2022-06-10 00:00:00,
ti_00083,cr_0037,Elite,3,38.34,Elite tier - Access to exclusive content,True,2022-06-10 00:00:00,
ti_00084,cr_0038,Fan,1,3.22,Fan tier - Access to exclusive content,True,2023-07-09 00:00:00,
ti_00085,cr_0038,Premium,2,8.78,Premium tier - Access to exclusive content,True,2023-07-08 00:00:00,
ti_00086,cr_0039,Fan,1,4.19,Fan tier - Access to exclusive content,True,2022-03-12 00:00:00,
ti_00087,cr_0039,Premium,2,10.72,Premium tier - Access to exclusive content,True,2022-03-12 00:00:00,
ti_00088,cr_0039,Elite,3,34.55,Elite tier - Access to exclusive content,True,2022-03-17 00:00:00,
ti_00089,cr_0040,Basic,1,3.35,Basic tier - Access to exclusive content,True,2023-05-08 00:00:00,
ti_00090,cr_0040,Plus,2,13.84,Plus tier - Access to exclusive content,True,2023-05-12 00:00:00,
ti_00091,cr_0040,Gold,3,33.99,Gold tier - Access to exclusive content,True,2023-05-11 00:00:00,
ti_00092,cr_0041,Basic,1,4.41,Basic tier - Access to exclusive content,True,2022-02-11 00:00:00,
ti_00093,cr_0041,Premium,2,7.54,Premium tier - Access to exclusive content,True,2022-02-15 00:00:00,
ti_00094,cr_0042,Viewer,1,3.63,Viewer tier - Access to exclusive content,True,2022-05-17 00:00:00,
ti_00095,cr_0042,Plus,2,7.53,Plus tier - Access to exclusive content,True,2022-05-11 00:00:00,
ti_00096,cr_0043,Fan,1,3.13,Fan tier - Access to exclusive content,True,2023-07-10 00:00:00,
ti_00097,cr_0043,VIP,2,10.47,VIP tier - Access to exclusive content,True,2023-07-09 00:00:00,
ti_00098,cr_0044,Basic,1,2.96,Basic tier - Access to exclusive content,True,2022-02-12 00:00:00,
ti_00099,cr_0044,VIP,2,9.8,VIP tier - Access to exclusive content,True,2022-02-12 00:00:00,
ti_00100,cr_0045,Viewer,1,3.12,Viewer tier - Access to exclusive content,True,2023-07-08 00:00:00,
ti_00101,cr_0045,Insider,2,7.36,Insider tier - Access to exclusive content,True,2023-07-07 00:00:00,
ti_00102,cr_0045,Pro,3,47.88,Pro tier - Access to exclusive content,True,2023-07-07 00:00:00,
ti_00103,cr_0046,Fan,1,4.53,Fan tier - Access to exclusive content,True,2023-06-08 00:00:00,
ti_00104,cr_0046,Premium,2,12.06,Premium tier - Access to exclusive content,True,2023-06-09 00:00:00,
ti_00105,cr_0046,Champion,3,23.11,Champion tier - Access to exclusive content,True,2023-06-05 00:00:00,
ti_00106,cr_0047,Supporter,1,3.28,Supporter tier - Access to exclusive content,True,2022-03-16 00:00:00,
ti_00107,cr_0047,Premium,2,11.17,Premium tier - Access to exclusive content,True,2022-03-18 00:00:00,
ti_00108,cr_0048,Basic,1,4.28,Basic tier - Access to exclusive content,True,2022-08-13 00:00:00,
ti_00109,cr_0048,VIP,2,8.66,VIP tier - Access to exclusive content,True,2022-08-13 00:00:00,
ti_00110,cr_0049,Basic,1,3.99,Basic tier - Access to exclusive content,True,2022-12-10 00:00:00,
ti_00111,cr_0049,Premium,2,10.13,Premium tier - Access to exclusive content,True,2022-12-07 00:00:00,
ti_00112,cr_0050,Fan,1,3.82,Fan tier - Access to exclusive content,True,2022-01-12 00:00:00,
ti_00113,cr_0050,Plus,2,14.11,Plus tier - Access to exclusive content,True,2022-01-15 00:00:00,
ti_00114,cr_0051,Supporter,1,2.47,Supporter tier - Access to exclusive content,True,2022-08-13 00:00:00,
ti_00115,cr_0051,Premium,2,12.73,Premium tier - Access to exclusive content,True,2022-08-11 00:00:00,
ti_00116,cr_0052,Supporter,1,3.8,Supporter tier - Access to exclusive content,True,2022-04-16 00:00:00,
ti_00117,cr_0052,Premium,2,13.95,Premium tier - Access to exclusive content,True,2022-04-14 00:00:00,
ti_00118,cr_0053,Supporter,1,3.67,Supporter tier - Access to exclusive content,True,2023-03-08 00:00:00,
ti_00119,cr_0053,Insider,2,8.07,Insider tier - Access to exclusive content,True,2023-03-08 00:00:00,
ti_00120,cr_0053,Pro,3,33.52,Pro tier - Access to exclusive content,True,2023-03-07 00:00:00,
ti_00121,cr_0054,Basic,1,4.08,Basic tier - Access to exclusive content,True,2022-06-12 00:00:00,
ti_00122,cr_0054,Premium,2,14.51,Premium tier - Access to exclusive content,True,2022-06-14 00:00:00,
ti_00123,cr_0055,Viewer,1,2.81,Viewer tier - Access to exclusive content,True,2022-04-15 00:00:00,
ti_00124,cr_0055,Plus,2,12.56,Plus tier - Access to exclusive content,True,2022-04-13 00:00:00,
ti_00125,cr_0056,Basic,1,2.79,Basic tier - Access to exclusive content,True,2023-03-11 00:00:00,
ti_00126,cr_0056,VIP,2,13.52,VIP tier - Access to exclusive content,True,2023-03-13 00:00:00,
ti_00127,cr_0057,Supporter,1,4.36,Supporter tier - Access to exclusive content,True,2023-03-11 00:00:00,
ti_00128,cr_0057,Plus,2,12.98,Plus tier - Access to exclusive content,True,2023-03-10 00:00:00,
ti_00129,cr_0057,Gold,3,26.52,Gold tier - Access to exclusive content,True,2023-03-13 00:00:00,
ti_00130,cr_0058,Viewer,1,3.25,Viewer tier - Access to exclusive content,True,2022-08-11 00:00:00,
ti_00131,cr_0058,VIP,2,13.59,VIP tier - Access to exclusive content,True,2022-08-14 00:00:00,
ti_00132,cr_0059,Viewer,1,2.97,Viewer tier - Access to exclusive content,True,2023-07-10 00:00:00,
ti_00133,cr_0059,VIP,2,14.1,VIP tier - Access to exclusive content,True,2023-07-11 00:00:00,
ti_00134,cr_0060,Supporter,1,4.99,Supporter tier - Access to exclusive content,True,2023-06-06 00:00:00,
